,id,Measurement
5,in[0],0.00
6,in[1],-17.25
7,in[2],0.00
8,,
12,in[0],0.00
13,in[1],-33.75
14,in[2],-17.75
15,,
19,in[0],0.00
20,in[1],-33.75
21,in[2],-17.75
22,,
26,in[0],0.00
27,in[1],-33.75
28,in[2],-17.75
29,,
33,in[0],-19.75
34,in[1],-50.50
35,in[2],-17.75
36,,
40,in[0],-37.25
41,in[1],-66.75
42,in[2],-17.75
43,,
47,in[0],-57.00
48,in[1],-66.75
49,in[2],-17.75
50,,
54,in[0],-74.25
55,in[1],-65.50
56,in[2],-17.75
57,,
61,in[0],-74.25
62,in[1],-65.50
63,in[2],-35.75
64,,
68,in[0],-74.25
69,in[1],-65.50
70,in[2],-35.75
71,,
75,in[0],-74.25
76,in[1],-65.50
77,in[2],-53.50
78,,
82,in[0],-74.50
83,in[1],-66.00
84,in[2],-53.50
85,,
89,in[0],-74.50
90,in[1],-66.75
91,in[2],-53.50
92,,
96,in[0],-74.50
97,in[1],-65.75
98,in[2],-53.50
99,,
103,in[0],-76.50
104,in[1],-65.75
105,in[2],-75.25
106,,
110,in[0],-74.00
111,in[1],-65.75
112,in[2],-75.25
113,,
117,in[0],-74.00
118,in[1],-66.25
119,in[2],-75.25
120,,
124,in[0],-74.00
125,in[1],-66.25
126,in[2],-75.25
127,,
131,in[0],-73.50
132,in[1],-66.25
133,in[2],-74.75
134,,
138,in[0],-73.50
139,in[1],-67.00
140,in[2],-74.75
141,,
145,in[0],-73.50
146,in[1],-68.00
147,in[2],-74.50
148,,
152,in[0],-73.50
153,in[1],-68.00
154,in[2],-74.50
155,,
159,in[0],-71.25
160,in[1],-68.00
161,in[2],-74.50
162,,
166,in[0],-73.50
167,in[1],-67.00
168,in[2],-74.50
169,,
173,in[0],-73.50
174,in[1],-67.00
175,in[2],-70.25
176,,
180,in[0],-73.00
181,in[1],-67.00
182,in[2],-70.25
183,,
187,in[0],-73.00
188,in[1],-67.50
189,in[2],-70.25
190,,
194,in[0],-75.50
195,in[1],-67.50
196,in[2],-70.25
197,,
201,in[0],-75.75
202,in[1],-66.25
203,in[2],-70.25
204,,
208,in[0],-75.75
209,in[1],-65.50
210,in[2],-70.25
211,,
215,in[0],-80.00
216,in[1],-65.50
217,in[2],-70.25
218,,
222,in[0],-78.25
223,in[1],-65.00
224,in[2],-70.25
225,,
229,in[0],-78.25
230,in[1],-66.00
231,in[2],-70.25
232,,
236,in[0],-75.75
237,in[1],-66.00
238,in[2],-70.25
239,,
243,in[0],-75.25
244,in[1],-67.00
245,in[2],-70.25
246,,
250,in[0],-75.25
251,in[1],-67.00
252,in[2],-70.25
253,,
