,a0c0,a1c0,a2c0,a3c0,dist_x,dist_y,time
0,-59.0,-74.0,-76.0,-85.0,1.0,3.1,00:01:53:500
1,-57.0,-74.0,-76.0,-85.0,1.0,3.1,00:01:53:928
2,-57.0,-74.0,-76.0,-84.0,1.0,3.1,00:01:54:671
3,-54.0,-74.0,-85.0,-80.0,1.0,3.1,00:01:54:873
4,-57.0,-73.0,-76.0,-85.0,1.0,3.1,00:01:55:082
5,-40.0,-74.0,-85.0,-80.0,1.0,3.1,00:01:55:290
6,-57.0,-74.0,-76.0,-85.0,1.0,3.1,00:01:55:502
7,-57.0,-74.0,-76.0,-85.0,1.0,3.1,00:01:55:921
8,-46.0,-74.0,-90.0,-80.0,1.0,3.1,00:01:56:131
9,-57.0,-74.0,-76.0,-84.0,1.0,3.1,00:01:56:339
10,-54.0,-74.0,-89.0,-80.0,1.0,3.1,00:01:56:551
11,-54.0,-74.0,-76.0,-85.0,1.0,3.1,00:01:56:963
12,-47.0,-64.0,-86.0,-85.0,1.0,3.1,00:01:57:174
13,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:01:57:389
14,-45.0,-65.0,-85.0,-84.0,1.0,3.1,00:01:57:594
15,-57.0,-73.0,-76.0,-79.0,1.0,3.1,00:01:57:806
16,-45.0,-74.0,-85.0,-80.0,1.0,3.1,00:01:58:018
17,-54.0,-73.0,-88.0,-80.0,1.0,3.1,00:01:58:227
18,-54.0,-74.0,-86.0,-80.0,1.0,3.1,00:01:58:440
19,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:01:58:647
20,-44.0,-74.0,-85.0,-80.0,1.0,3.1,00:01:58:863
21,-56.0,-73.0,-76.0,-84.0,1.0,3.1,00:01:59:082
22,-57.0,-74.0,-76.0,-85.0,1.0,3.1,00:01:59:490
23,-56.0,-74.0,-76.0,-84.0,1.0,3.1,00:01:59:910
24,-54.0,-74.0,-90.0,-79.0,1.0,3.1,00:02:00:127
25,-54.0,-74.0,-76.0,-79.0,1.0,3.1,00:02:00:544
26,-46.0,-64.0,-86.0,-84.0,1.0,3.1,00:02:00:747
27,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:00:960
28,-44.0,-66.0,-86.0,-84.0,1.0,3.1,00:02:01:167
29,-54.0,-73.0,-76.0,-80.0,1.0,3.1,00:02:01:379
30,-46.0,-74.0,-86.0,-79.0,1.0,3.1,00:02:01:593
31,-57.0,-73.0,-89.0,-79.0,1.0,3.1,00:02:01:804
32,-54.0,-76.0,-84.0,-80.0,1.0,3.1,00:02:02:014
33,-54.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:02:424
34,-57.0,-74.0,-76.0,-84.0,1.0,3.1,00:02:02:630
35,-46.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:02:838
36,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:03:040
37,-57.0,-74.0,-76.0,-84.0,1.0,3.1,00:02:03:457
38,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:04:178
39,-46.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:04:395
40,-57.0,-74.0,-89.0,-85.0,1.0,3.1,00:02:04:602
41,-54.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:05:016
42,-46.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:05:223
43,-56.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:05:426
44,-57.0,-73.0,-77.0,-84.0,1.0,3.1,00:02:05:842
45,-57.0,-74.0,-76.0,-85.0,1.0,3.1,00:02:06:252
46,-56.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:06:665
47,-54.0,-75.0,-85.0,-80.0,1.0,3.1,00:02:07:192
48,-57.0,-73.0,-75.0,-84.0,1.0,3.1,00:02:07:398
49,-46.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:07:599
50,-57.0,-73.0,-75.0,-86.0,1.0,3.1,00:02:07:805
51,-54.0,-73.0,-75.0,-85.0,1.0,3.1,00:02:08:226
52,-54.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:08:654
53,-46.0,-74.0,-90.0,-80.0,1.0,3.1,00:02:08:861
54,-59.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:09:070
55,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:09:285
56,-46.0,-64.0,-86.0,-84.0,1.0,3.1,00:02:09:497
57,-46.0,-68.0,-86.0,-84.0,1.0,3.1,00:02:09:911
58,-54.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:10:120
59,-46.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:10:332
60,-46.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:10:748
61,-57.0,-73.0,-89.0,-84.0,1.0,3.1,00:02:10:954
62,-55.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:11:163
63,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:11:367
64,-46.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:11:580
65,-56.0,-74.0,-76.0,-85.0,1.0,3.1,00:02:11:789
66,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:12:214
67,-57.0,-75.0,-76.0,-85.0,1.0,3.1,00:02:12:631
68,-54.0,-74.0,-90.0,-80.0,1.0,3.1,00:02:12:848
69,-46.0,-73.0,-85.0,-84.0,1.0,3.1,00:02:13:058
70,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:13:273
71,-46.0,-67.0,-85.0,-84.0,1.0,3.1,00:02:13:488
72,-54.0,-73.0,-75.0,-80.0,1.0,3.1,00:02:13:693
73,-46.0,-66.0,-85.0,-85.0,1.0,3.1,00:02:13:900
74,-57.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:14:116
75,-56.0,-73.0,-75.0,-85.0,1.0,3.1,00:02:14:543
76,-54.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:14:751
77,-57.0,-73.0,-75.0,-84.0,1.0,3.1,00:02:14:966
78,-57.0,-73.0,-75.0,-85.0,1.0,3.1,00:02:15:390
79,-54.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:15:923
80,-57.0,-73.0,-75.0,-84.0,1.0,3.1,00:02:16:137
81,-46.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:16:350
82,-57.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:16:564
83,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:17:411
84,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:17:619
85,-46.0,-73.0,-85.0,-84.0,1.0,3.1,00:02:17:829
86,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:18:037
87,-46.0,-65.0,-85.0,-85.0,1.0,3.1,00:02:18:248
88,-54.0,-73.0,-75.0,-80.0,1.0,3.1,00:02:18:460
89,-57.0,-73.0,-90.0,-80.0,1.0,3.1,00:02:18:894
90,-57.0,-73.0,-90.0,-84.0,1.0,3.1,00:02:19:310
91,-54.0,-74.0,-84.0,-80.0,1.0,3.1,00:02:19:513
92,-54.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:19:717
93,-40.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:19:921
94,-57.0,-73.0,-76.0,-86.0,1.0,3.1,00:02:20:129
95,-57.0,-73.0,-75.0,-85.0,1.0,3.1,00:02:20:557
96,-57.0,-73.0,-89.0,-84.0,1.0,3.1,00:02:21:289
97,-54.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:21:497
98,-57.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:21:709
99,-46.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:21:912
100,-57.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:22:122
101,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:22:545
102,-57.0,-73.0,-75.0,-85.0,1.0,3.1,00:02:22:962
103,-46.0,-74.0,-89.0,-79.0,1.0,3.1,00:02:23:172
104,-59.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:23:381
105,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:23:588
106,-46.0,-73.0,-85.0,-84.0,1.0,3.1,00:02:23:798
107,-54.0,-74.0,-76.0,-79.0,1.0,3.1,00:02:24:009
108,-46.0,-66.0,-85.0,-85.0,1.0,3.1,00:02:24:214
109,-54.0,-73.0,-76.0,-80.0,1.0,3.1,00:02:24:427
110,-46.0,-64.0,-85.0,-80.0,1.0,3.1,00:02:24:641
111,-54.0,-73.0,-75.0,-80.0,1.0,3.1,00:02:24:851
112,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:25:585
113,-47.0,-65.0,-86.0,-84.0,1.0,3.1,00:02:25:797
114,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:26:000
115,-48.0,-66.0,-85.0,-85.0,1.0,3.1,00:02:26:205
116,-54.0,-74.0,-75.0,-84.0,1.0,3.1,00:02:26:416
117,-46.0,-64.0,-86.0,-80.0,1.0,3.1,00:02:26:629
118,-46.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:27:040
119,-57.0,-74.0,-89.0,-80.0,1.0,3.1,00:02:27:245
120,-54.0,-75.0,-85.0,-80.0,1.0,3.1,00:02:27:459
121,-57.0,-74.0,-75.0,-85.0,1.0,3.1,00:02:27:674
122,-54.0,-75.0,-85.0,-79.0,1.0,3.1,00:02:27:881
123,-59.0,-74.0,-76.0,-84.0,1.0,3.1,00:02:28:093
124,-57.0,-74.0,-76.0,-84.0,1.0,3.1,00:02:28:515
125,-57.0,-74.0,-76.0,-84.0,1.0,3.1,00:02:28:934
126,-59.0,-74.0,-85.0,-84.0,1.0,3.1,00:02:29:354
127,-54.0,-75.0,-75.0,-80.0,1.0,3.1,00:02:29:564
128,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:29:981
129,-46.0,-68.0,-85.0,-84.0,1.0,3.1,00:02:30:198
130,-56.0,-73.0,-75.0,-80.0,1.0,3.1,00:02:30:406
131,-47.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:30:617
132,-56.0,-73.0,-90.0,-80.0,1.0,3.1,00:02:30:823
133,-54.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:31:037
134,-57.0,-74.0,-75.0,-85.0,1.0,3.1,00:02:31:241
135,-46.0,-74.0,-86.0,-79.0,1.0,3.1,00:02:31:456
136,-57.0,-74.0,-75.0,-84.0,1.0,3.1,00:02:31:668
137,-59.0,-73.0,-75.0,-85.0,1.0,3.1,00:02:32:090
138,-46.0,-74.0,-90.0,-80.0,1.0,3.1,00:02:32:305
139,-57.0,-73.0,-75.0,-84.0,1.0,3.1,00:02:32:515
140,-46.0,-74.0,-86.0,-85.0,1.0,3.1,00:02:32:936
141,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:33:149
142,-46.0,-66.0,-86.0,-80.0,1.0,3.1,00:02:33:776
143,-57.0,-73.0,-75.0,-79.0,1.0,3.1,00:02:33:985
144,-45.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:34:201
145,-57.0,-73.0,-90.0,-85.0,1.0,3.1,00:02:34:410
146,-54.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:34:614
147,-57.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:34:825
148,-46.0,-74.0,-84.0,-79.0,1.0,3.1,00:02:35:036
149,-56.0,-73.0,-75.0,-84.0,1.0,3.1,00:02:35:251
150,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:35:676
151,-46.0,-76.0,-90.0,-80.0,1.0,3.1,00:02:35:882
152,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:36:094
153,-56.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:36:300
154,-50.0,-72.0,-85.0,-84.0,1.0,3.1,00:02:36:514
155,-54.0,-74.0,-76.0,-80.0,1.0,3.1,00:02:36:722
156,-46.0,-74.0,-85.0,-85.0,1.0,3.1,00:02:36:936
157,-55.0,-73.0,-76.0,-79.0,1.0,3.1,00:02:37:146
158,-46.0,-60.0,-85.0,-84.0,1.0,3.1,00:02:37:353
159,-57.0,-74.0,-91.0,-80.0,1.0,3.1,00:02:37:978
160,-56.0,-73.0,-90.0,-85.0,1.0,3.1,00:02:38:390
161,-54.0,-74.0,-85.0,-79.0,1.0,3.1,00:02:38:601
162,-57.0,-74.0,-76.0,-85.0,1.0,3.1,00:02:38:815
163,-56.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:39:231
164,-40.0,-64.0,-86.0,-80.0,1.0,3.1,00:02:39:746
165,-54.0,-74.0,-86.0,-79.0,1.0,3.1,00:02:40:170
166,-57.0,-74.0,-75.0,-84.0,1.0,3.1,00:02:40:381
167,-46.0,-74.0,-86.0,-79.0,1.0,3.1,00:02:40:594
168,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:40:803
169,-46.0,-74.0,-86.0,-79.0,1.0,3.1,00:02:41:010
170,-59.0,-74.0,-76.0,-85.0,1.0,3.1,00:02:41:217
171,-57.0,-73.0,-79.0,-84.0,1.0,3.1,00:02:41:633
172,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:42:048
173,-46.0,-74.0,-91.0,-79.0,1.0,3.1,00:02:42:256
174,-59.0,-73.0,-76.0,-85.0,1.0,3.1,00:02:42:466
175,-54.0,-74.0,-76.0,-85.0,1.0,3.1,00:02:42:685
176,-44.0,-66.0,-85.0,-84.0,1.0,3.1,00:02:42:892
177,-54.0,-73.0,-75.0,-80.0,1.0,3.1,00:02:43:103
178,-43.0,-66.0,-86.0,-85.0,1.0,3.1,00:02:43:310
179,-57.0,-73.0,-76.0,-80.0,1.0,3.1,00:02:43:518
180,-48.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:43:731
181,-52.0,-73.0,-91.0,-80.0,1.0,3.1,00:02:43:939
182,-51.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:44:143
183,-54.0,-74.0,-85.0,-80.0,1.0,3.1,00:02:44:556
184,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:44:761
185,-54.0,-74.0,-86.0,-80.0,1.0,3.1,00:02:44:965
186,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:45:178
187,-59.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:45:597
188,-57.0,-73.0,-76.0,-84.0,1.0,3.1,00:02:46:018
189,-59.0,-74.0,-76.0,-85.0,1.0,3.1,00:02:46:441
190,-54.0,-74.0,-76.0,-79.0,1.0,3.1,00:02:46:649
191,-46.0,-66.0,-85.0,-84.0,1.0,3.1,00:02:46:858
