,id,time (delta),RSSI (dBm)
3,0,0:,0
4,0,0:,0
5,0,0:,0
12,0,0:,0
13,0,0:,0
14,0,0:,0
18,<err,@,0:
19,0,0:,0
20,0,0:,0
27,0,0:,0
28,0,0:,0
29,0,0:,0
36,0,0:,0
37,0,0:,0
38,0,0:,0
45,0,0:,0
46,0,0:,0
47,0,0:,0
54,0,0:,0
55,0,0:,0
56,0,0:,0
63,0,0:,0
64,0,0:,0
65,0,0:,0
72,0,0:,0
73,0,0:,0
74,0,0:,0
81,0,0:,0
82,0,0:,0
83,0,0:,0
90,0,0:,0
91,0,0:,0
92,0,0:,0
99,0,0:,0
100,0,0:,0
101,0,0:,0
108,0,0:,0
109,0,0:,0
110,0,0:,0
117,0,0:,0
118,0,0:,0
119,0,0:,0
126,0,0:,0
127,0,0:,0
128,0,0:,0
135,0,0:,0
136,0,0:,0
137,0,0:,0
144,0,0:,0
145,0,0:,0
146,0,0:,0
153,0,0:,0
154,0,0:,0
155,0,0:,0
162,0,0:,0
163,0,0:,0
164,0,0:,0
171,0,0:,0
172,0,0:,0
173,0,0:,0
180,0,0:,0
181,0,0:,0
182,0,0:,0
189,0,0:,0
190,0,0:,0
191,0,0:,0
198,0,0:,0
199,0,0:,0
200,0,0:,0
207,0,0:,0
208,0,0:,0
209,0,0:,0
216,0,0:,0
217,0,0:,0
218,0,0:,0
225,0,0:,0
226,0,0:,0
227,0,0:,0
234,0,0:,0
235,0,0:,0
236,0,0:,0
243,0,0:,0
244,0,0:,0
245,0,0:,0
252,0,0:,0
253,0,0:,0
254,0,0:,0
261,0,0:,0
262,0,0:,0
263,0,0:,0
270,0,0:,0
271,0,0:,0
272,0,0:,0
279,0,0:,0
280,0,0:,0
281,0,0:,0
288,0,0:,0
289,0,0:,0
290,0,0:,0
297,0,0:,0
298,0,0:,0
299,0,0:,0
306,0,0:,0
307,0,0:,0
308,0,0:,0
315,0,0:,0
316,0,0:,0
317,0,0:,0
324,0,0:,0
325,0,0:,0
326,0,0:,0
333,0,0:,0
334,0,0:,0
335,0,0:,0
342,0,0:,0
343,0,0:,0
344,0,0:,0
351,0,0:,0
352,0,0:,0
353,0,0:,0
360,0,0:,0
361,0,0:,0
362,0,0:,0
369,0,0:,0
370,0,0:,0
371,0,0:,0
378,0,0:,0
379,0,0:,0
380,0,0:,0
387,0,0:,0
388,0,0:,0
389,0,0:,0
396,0,0:,0
397,0,0:,0
398,0,0:,0
405,0,0:,0
406,0,0:,0
407,0,0:,0
414,0,0:,0
415,0,0:,0
416,0,0:,0
423,0,0:,0
424,0,0:,0
425,0,0:,0
432,0,0:,0
433,0,0:,0
434,0,0:,0
441,0,0:,0
442,0,0:,0
443,0,0:,0
450,0,0:,0
451,0,0:,0
452,0,0:,0
459,0,0:,0
460,0,0:,0
461,0,0:,0
468,0,0:,0
469,0,0:,0
470,0,0:,0
477,0,0:,0
478,0,0:,0
479,0,0:,0
486,0,0:,0
487,0,0:,0
488,0,0:,0
495,0,0:,0
496,0,0:,0
497,0,0:,0
504,0,0:,0
505,0,0:,0
506,0,0:,0
513,0,0:,0
514,0,0:,0
515,0,0:,0
522,0,0:,0
523,0,0:,0
524,0,0:,0
531,0,0:,0
532,0,0:,0
533,0,0:,0
540,0,0:,0
541,0,0:,0
542,0,0:,0
549,0,0:,0
550,0,0:,0
551,0,0:,0
558,0,0:,0
559,0,0:,0
560,0,0:,0
567,0,0:,0
568,0,0:,0
569,0,0:,0
576,0,0:,0
577,0,0:,0
578,0,0:,0
585,0,0:,0
586,0,0:,0
587,0,0:,0
594,0,0:,0
595,0,0:,0
596,0,0:,0
603,0,0:,0
604,0,0:,0
605,0,0:,0
612,0,0:,0
613,0,0:,0
614,0,0:,0
621,0,0:,0
622,0,0:,0
623,0,0:,0
630,0,0:,0
631,0,0:,0
632,0,0:,0
639,0,0:,0
640,0,0:,0
641,0,0:,0
648,0,0:,0
649,0,0:,0
650,0,0:,0
657,0,0:,0
658,0,0:,0
659,0,0:,0
666,0,0:,0
667,0,0:,0
668,0,0:,0
675,0,0:,0
676,0,0:,0
677,0,0:,0
684,0,0:,0
685,0,0:,0
686,0,0:,0
693,0,0:,0
694,0,0:,0
695,0,0:,0
702,0,0:,0
703,0,0:,0
704,0,0:,0
711,0,0:,0
712,0,0:,0
713,0,0:,0
720,0,0:,0
721,0,0:,0
722,0,0:,0
729,0,0:,0
730,0,0:,0
731,0,0:,0
738,0,0:,0
739,0,0:,0
740,0,0:,0
747,0,0:,0
748,0,0:,0
749,0,0:,0
756,0,0:,0
757,0,0:,0
758,0,0:,0
765,0,0:,0
766,0,0:,0
767,0,0:,0
774,0,0:,0
775,0,0:,0
776,0,0:,0
783,0,0:,0
784,0,0:,0
785,0,0:,0
792,0,0:,0
793,0,0:,0
794,0,0:,0
801,0,0:,0
802,0,0:,0
803,0,0:,0
810,0,0:,0
811,0,0:,0
812,0,0:,0
819,0,0:,0
820,0,0:,0
821,0,0:,0
828,0,0:,0
829,0,0:,0
830,0,0:,0
837,0,0:,0
838,0,0:,0
839,0,0:,0
846,0,0:,0
847,0,0:,0
848,0,0:,0
855,0,0:,0
856,0,0:,0
857,0,0:,0
864,0,0:,0
865,0,0:,0
866,0,0:,0
873,0,0:,0
874,0,0:,0
875,0,0:,0
882,0,0:,0
883,0,0:,0
884,0,0:,0
891,0,0:,0
892,0,0:,0
893,0,0:,0
900,0,0:,0
901,0,0:,0
902,0,0:,0
909,0,0:,0
910,0,0:,0
911,0,0:,0
919,0,0:,0
920,0,0:,0
921,0,0:,0
928,0,0:,0
929,0,0:,0
930,0,0:,0
937,0,0:,0
938,0,0:,0
939,0,0:,0
946,0,0:,0
947,0,0:,0
948,0,0:,0
955,0,0:,0
956,0,0:,0
957,0,0:,0
964,0,0:,0
965,0,0:,0
966,0,0:,0
973,0,0:,0
974,0,0:,0
975,0,0:,0
982,0,0:,0
983,0,0:,0
984,0,0:,0
991,0,0:,0
992,0,0:,0
993,0,0:,0
1000,0,0:,0
1001,0,0:,0
1002,0,0:,0
1009,0,0:,0
1010,0,0:,0
1011,0,0:,0
1018,0,0:,0
1019,0,0:,0
1020,0,0:,0
1027,0,0:,0
1028,0,0:,0
1029,0,0:,0
1036,0,0:,0
1037,0,0:,0
1038,0,0:,0
1045,0,0:,0
1046,0,0:,0
1047,0,0:,0
1054,0,0:,0
1055,0,0:,0
1056,0,0:,0
1063,0,0:,0
1064,0,0:,0
1065,0,0:,0
1072,0,0:,0
1073,0,0:,0
1074,0,0:,0
1081,0,0:,0
1082,0,0:,0
1083,0,0:,0
1090,0,0:,0
1091,0,0:,0
1092,0,0:,0
1099,0,0:,0
1100,0,0:,0
1101,0,0:,0
1108,0,0:,0
1109,0,0:,0
1110,0,0:,0
1117,0,0:,0
1118,0,0:,0
1119,0,0:,0
1126,0,0:,0
1127,0,0:,0
1128,0,0:,0
1135,0,0:,0
1136,0,0:,0
1137,0,0:,0
1144,0,0:,0
1145,0,0:,0
1146,0,0:,0
1153,0,0:,0
1154,0,0:,0
1155,0,0:,0
1162,0,0:,0
1163,0,0:,0
1164,0,0:,0
1171,0,0:,0
1172,0,0:,0
1173,0,0:,0
1180,0,0:,0
1181,0,0:,0
1182,0,0:,0
1189,0,0:,0
1190,0,0:,0
1191,0,0:,0
1198,0,0:,0
1199,0,0:,0
1200,0,0:,0
1207,0,0:,0
1208,0,0:,0
1209,0,0:,0
1216,0,0:,0
1217,0,0:,0
1218,0,0:,0
1225,0,0:,0
1226,0,0:,0
1227,0,0:,0
1234,0,0:,0
1235,0,0:,0
1236,0,0:,0
1243,0,0:,0
1244,0,0:,0
1245,0,0:,0
1252,0,0:,0
1253,0,0:,0
1254,0,0:,0
1261,0,0:,0
1262,0,0:,0
1263,0,0:,0
1270,0,0:,0
1271,0,0:,0
1272,0,0:,0
1279,0,0:,0
1280,0,0:,0
1281,0,0:,0
1288,0,0:,0
1289,0,0:,0
1290,0,0:,0
1297,0,0:,0
1298,0,0:,0
1299,0,0:,0
1306,0,0:,0
1307,0,0:,0
1308,0,0:,0
1315,0,0:,0
1316,0,0:,0
1317,0,0:,0
1324,0,0:,0
1325,0,0:,0
1326,0,0:,0
1333,0,0:,0
1334,0,0:,0
1335,0,0:,0
1342,0,0:,0
1343,0,0:,0
1344,0,0:,0
1351,0,0:,0
1352,0,0:,0
1353,0,0:,0
1360,0,0:,0
1361,0,0:,0
1362,0,0:,0
1369,0,0:,0
1370,0,0:,0
1371,0,0:,0
1378,0,0:,0
1379,0,0:,0
1380,0,0:,0
1387,0,0:,0
1388,0,0:,0
1389,0,0:,0
1396,0,0:,0
1397,0,0:,0
1398,0,0:,0
1405,0,0:,0
1406,0,0:,0
1407,0,0:,0
1414,0,0:,0
1415,0,0:,0
1416,0,0:,0
1423,0,0:,0
1424,0,0:,0
1425,0,0:,0
1432,0,0:,0
1433,0,0:,0
1434,0,0:,0
1441,0,0:,0
1442,0,0:,0
1443,0,0:,0
1450,0,0:,0
1451,0,0:,0
1452,0,0:,0
1459,0,0:,0
1460,0,0:,0
1461,0,0:,0
1468,0,0:,0
1469,0,0:,0
1470,0,0:,0
1477,0,0:,0
1478,0,0:,0
1479,0,0:,0
1486,0,0:,0
1487,0,0:,0
1488,0,0:,0
1495,0,0:,0
1496,0,0:,0
1497,0,0:,0
1504,0,0:,0
1505,0,0:,0
1506,0,0:,0
1513,0,0:,0
1514,0,0:,0
1515,0,0:,0
1522,0,0:,0
1523,0,0:,0
1524,0,0:,0
1531,0,0:,0
1532,0,0:,0
1533,0,0:,0
1540,0,0:,0
1541,0,0:,0
1542,0,0:,0
1549,0,0:,0
1550,0,0:,0
1551,0,0:,0
1558,0,0:,0
1559,0,0:,0
1560,0,0:,0
1567,0,0:,0
1568,0,0:,0
1569,0,0:,0
1576,0,0:,0
1577,0,0:,0
1578,0,0:,0
1585,0,0:,0
1586,0,0:,0
1587,0,0:,0
1594,0,0:,0
1595,0,0:,0
1596,0,0:,0
1603,0,0:,0
1604,0,0:,0
1605,0,0:,0
1612,0,0:,0
1613,0,0:,0
1614,0,0:,0
1621,0,0:,0
1622,0,0:,0
1623,0,0:,0
1630,0,0:,0
1631,0,0:,0
1632,0,0:,0
1639,0,0:,0
1640,0,0:,0
1641,0,0:,0
1648,0,0:,0
1649,0,0:,0
1650,0,0:,0
1657,0,0:,0
1658,0,0:,0
1659,0,0:,0
1666,0,0:,0
1667,0,0:,0
1668,0,0:,0
1675,0,0:,0
1676,0,0:,0
1677,0,0:,0
1684,0,0:,0
1685,0,0:,0
1686,0,0:,0
1693,0,0:,0
1694,0,0:,0
1695,0,0:,0
1702,0,0:,0
1703,0,0:,0
1704,0,0:,0
1711,0,0:,0
1712,0,0:,0
1713,0,0:,0
1720,0,0:,0
1721,0,0:,0
1722,0,0:,0
1729,0,0:,0
1730,0,0:,0
1731,0,0:,0
1738,0,0:,0
1739,0,0:,0
1740,0,0:,0
1747,0,0:,0
1748,0,0:,0
1749,0,0:,0
1756,0,0:,0
1757,0,0:,0
1758,0,0:,0
1765,0,0:,0
1766,0,0:,0
1767,0,0:,0
1774,0,0:,0
1775,0,0:,0
1776,0,0:,0
1783,0,0:,0
1784,0,0:,0
1785,0,0:,0
1792,0,0:,0
1793,0,0:,0
1794,0,0:,0
1801,0,0:,0
1802,0,0:,0
1803,0,0:,0
1810,0,0:,0
1811,0,0:,0
1812,0,0:,0
1819,0,0:,0
1820,0,0:,0
1821,0,0:,0
1828,0,0:,0
1829,0,0:,0
1830,0,0:,0
1837,0,0:,0
1838,0,0:,0
1839,0,0:,0
1846,0,0:,0
1847,0,0:,0
1848,0,0:,0
1855,0,0:,0
1856,0,0:,0
1857,0,0:,0
1864,0,0:,0
1865,0,0:,0
1866,0,0:,0
1873,0,0:,0
1874,0,0:,0
1875,0,0:,0
1882,0,0:,0
1883,0,0:,0
1884,0,0:,0
1891,0,0:,0
1892,0,0:,0
1893,0,0:,0
1900,0,0:,0
1901,0,0:,0
1902,0,0:,0
1909,0,0:,0
1910,0,0:,0
1911,0,0:,0
1918,0,0:,0
1919,0,0:,0
1920,0,0:,0
1927,0,0:,0
1928,0,0:,0
1929,0,0:,0
1936,0,0:,0
1937,0,0:,0
1938,0,0:,0
1945,0,0:,0
1946,0,0:,0
1947,0,0:,0
1954,0,0:,0
1955,0,0:,0
1956,0,0:,0
1963,0,0:,0
1964,0,0:,0
1965,0,0:,0
1972,0,0:,0
1973,0,0:,0
1974,0,0:,0
1981,0,0:,0
1982,0,0:,0
1983,0,0:,0
1990,0,0:,0
1991,0,0:,0
1992,0,0:,0
1999,0,0:,0
2000,0,0:,0
2001,0,0:,0
2008,0,0:,0
2009,0,0:,0
2010,0,0:,0
2017,0,0:,0
2018,0,0:,0
2019,0,0:,0
2026,0,0:,0
2027,0,0:,0
2028,0,0:,0
2035,0,0:,0
2036,0,0:,0
2037,0,0:,0
2044,0,0:,0
2045,0,0:,0
2046,0,0:,0
2053,0,0:,0
2054,0,0:,0
2055,0,0:,0
2062,0,0:,0
2063,0,0:,0
2064,0,0:,0
2071,0,0:,0
2072,0,0:,0
2073,0,0:,0
2080,0,0:,0
2081,0,0:,0
2082,0,0:,0
2089,0,0:,0
2090,0,0:,0
2091,0,0:,0
2098,0,0:,0
2099,0,0:,0
2100,0,0:,0
2107,0,0:,0
2108,0,0:,0
2109,0,0:,0
2116,0,0:,0
2117,0,0:,0
2118,0,0:,0
2125,0,0:,0
2126,0,0:,0
2127,0,0:,0
2134,0,0:,0
2135,0,0:,0
2136,0,0:,0
2143,0,0:,0
2144,0,0:,0
2145,0,0:,0
2152,0,0:,0
2153,0,0:,0
2154,0,0:,0
2161,0,0:,0
2162,0,0:,0
2163,0,0:,0
2170,0,0:,0
2171,0,0:,0
2172,0,0:,0
2179,0,0:,0
2180,0,0:,0
2181,0,0:,0
2188,0,0:,0
2189,0,0:,0
2190,0,0:,0
2197,0,0:,0
2198,0,0:,0
2199,0,0:,0
2206,0,0:,0
2207,0,0:,0
2208,0,0:,0
2215,0,0:,0
2216,0,0:,0
2217,0,0:,0
2224,0,0:,0
2225,0,0:,0
2226,0,0:,0
2233,0,0:,0
2234,0,0:,0
2235,0,0:,0
2242,0,0:,0
2243,0,0:,0
2244,0,0:,0
2251,0,0:,0
2252,0,0:,0
2253,0,0:,0
2260,0,0:,0
2261,0,0:,0
2262,0,0:,0
2269,0,0:,0
2270,0,0:,0
2271,0,0:,0
2278,0,0:,0
2279,0,0:,0
2280,0,0:,0
2287,0,0:,0
2288,0,0:,0
2289,0,0:,0
2296,0,0:,0
2297,0,0:,0
2298,0,0:,0
2305,0,0:,0
2306,0,0:,0
2307,0,0:,0
2314,0,0:,0
2315,0,0:,0
2316,0,0:,0
2323,0,0:,0
2324,0,0:,0
2325,0,0:,0
2332,0,0:,0
2333,0,0:,0
2334,0,0:,0
2341,0,0:,0
2342,0,0:,0
2343,0,0:,0
2350,0,0:,0
2351,0,0:,0
2352,0,0:,0
2359,0,0:,0
2360,0,0:,0
2361,0,0:,0
2368,0,0:,0
2369,0,0:,0
2370,0,0:,0
2377,0,0:,0
2378,0,0:,0
2379,0,0:,0
2386,0,0:,0
2387,0,0:,0
2388,0,0:,0
2395,0,0:,0
2396,0,0:,0
2397,0,0:,0
2404,0,0:,0
2405,0,0:,0
2406,0,0:,0
2413,0,0:,0
2414,0,0:,0
2415,0,0:,0
2422,0,0:,0
2423,0,0:,0
2424,0,0:,0
2431,0,0:,0
2432,0,0:,0
2433,0,0:,0
2440,0,0:,0
2441,0,0:,0
2442,0,0:,0
2449,0,0:,0
2450,0,0:,0
2451,0,0:,0
2458,0,0:,0
2459,0,0:,0
2460,0,0:,0
2468,0,0:,0
2469,0,0:,0
2470,0,0:,0
2477,0,0:,0
2478,0,0:,0
2479,0,0:,0
2486,0,0:,0
2487,0,0:,0
2488,0,0:,0
2495,0,0:,0
2496,0,0:,0
2497,0,0:,0
2504,0,0:,0
2505,0,0:,0
2506,0,0:,0
2513,0,0:,0
2514,0,0:,0
2515,0,0:,0
2522,0,0:,0
2523,0,0:,0
2524,0,0:,0
2531,0,0:,0
2532,0,0:,0
2533,0,0:,0
2540,0,0:,0
2541,0,0:,0
2542,0,0:,0
2549,0,0:,0
2550,0,0:,0
2551,0,0:,0
2558,0,0:,0
2559,0,0:,0
2560,0,0:,0
2567,0,0:,0
2568,0,0:,0
2569,0,0:,0
2576,0,0:,0
2577,0,0:,0
2578,0,0:,0
2585,0,0:,0
2586,0,0:,0
2587,0,0:,0
2594,0,0:,0
2595,0,0:,0
2596,0,0:,0
2603,0,0:,0
2604,0,0:,0
2605,0,0:,0
2612,0,0:,0
2613,0,0:,0
2614,0,0:,0
2621,0,0:,0
2622,0,0:,0
2623,0,0:,0
2630,0,0:,0
2631,0,0:,0
2632,0,0:,0
2639,0,0:,0
2640,0,0:,0
2641,0,0:,0
2648,0,0:,0
2649,0,0:,0
2650,0,0:,0
2657,0,0:,0
2658,0,0:,0
2659,0,0:,0
2666,0,0:,0
2667,0,0:,0
2668,0,0:,0
2675,0,0:,0
2676,0,0:,0
2677,0,0:,0
2684,0,0:,0
2685,0,0:,0
2686,0,0:,0
2693,0,0:,0
2694,0,0:,0
2695,0,0:,0
2702,0,0:,0
2703,0,0:,0
2704,0,0:,0
2711,0,0:,0
2712,0,0:,0
2713,0,0:,0
2720,0,0:,0
2721,0,0:,0
2722,0,0:,0
2729,0,0:,0
2730,0,0:,0
2731,0,0:,0
2738,0,0:,0
2739,0,0:,0
2740,0,0:,0
2747,0,0:,0
2748,0,0:,0
2749,0,0:,0
2756,0,0:,0
2757,0,0:,0
2758,0,0:,0
2765,0,0:,0
2766,0,0:,0
2767,0,0:,0
2774,0,0:,0
2775,0,0:,0
2776,0,0:,0
2783,0,0:,0
2784,0,0:,0
2785,0,0:,0
2792,0,0:,0
2793,0,0:,0
2794,0,0:,0
2802,0,0:,0
2803,0,0:,0
2804,0,0:,0
2811,0,0:,0
2812,0,0:,0
2813,0,0:,0
2820,0,0:,0
2821,0,0:,0
2822,0,0:,0
2829,0,0:,0
2830,0,0:,0
2831,0,0:,0
2838,0,0:,0
2839,0,0:,0
2840,0,0:,0
2847,0,0:,0
2848,0,0:,0
2849,0,0:,0
2856,0,0:,0
2857,0,0:,0
2858,0,0:,0
2865,0,0:,0
2866,0,0:,0
2867,0,0:,0
2874,0,0:,0
2875,0,0:,0
2876,0,0:,0
2883,0,0:,0
2884,0,0:,0
2885,0,0:,0
2892,0,0:,0
2893,0,0:,0
2894,0,0:,0
2901,0,0:,0
2902,0,0:,0
2903,0,0:,0
2910,0,0:,0
2911,0,0:,0
2912,0,0:,0
2919,0,0:,0
2920,0,0:,0
2921,0,0:,0
2928,0,0:,0
2929,0,0:,0
2930,0,0:,0
2937,0,0:,0
2938,0,0:,0
2939,0,0:,0
2946,0,0:,0
2947,0,0:,0
2948,0,0:,0
2955,0,0:,0
2956,0,0:,0
2957,0,0:,0
2964,0,0:,0
2965,0,0:,0
2966,0,0:,0
2973,0,0:,0
2974,0,0:,0
2975,0,0:,0
2983,0,0:,0
2984,0,0:,0
2985,0,0:,0
2992,0,0:,0
2993,0,0:,0
2994,0,0:,0
3001,0,0:,0
3002,0,0:,0
3003,0,0:,0
3010,0,0:,0
3011,0,0:,0
3012,0,0:,0
3019,0,0:,0
3020,0,0:,0
3021,0,0:,0
3028,0,0:,0
3029,0,0:,0
3030,0,0:,0
3037,0,0:,0
3038,0,0:,0
3039,0,0:,0
3046,0,0:,0
3047,0,0:,0
3048,0,0:,0
3055,0,0:,0
3056,0,0:,0
3057,0,0:,0
3064,0,0:,0
3065,0,0:,0
3066,0,0:,0
3073,0,0:,0
3074,0,0:,0
3075,0,0:,0
3082,0,0:,0
3083,0,0:,0
3084,0,0:,0
3091,0,0:,0
3092,0,0:,0
3093,0,0:,0
3100,0,0:,0
3101,0,0:,0
3102,0,0:,0
3109,0,0:,0
3110,0,0:,0
3111,0,0:,0
3118,0,0:,0
3119,0,0:,0
3120,0,0:,0
3127,0,0:,0
3128,0,0:,0
3129,0,0:,0
3136,0,0:,0
3137,0,0:,0
3138,0,0:,0
3145,0,0:,0
3146,0,0:,0
3147,0,0:,0
3154,0,0:,0
3155,0,0:,0
3156,0,0:,0
3163,0,0:,0
3164,0,0:,0
3165,0,0:,0
3173,0,0:,0
3174,0,0:,0
3175,0,0:,0
3182,0,0:,0
3183,0,0:,0
3184,0,0:,0
3191,0,0:,0
3192,0,0:,0
3193,0,0:,0
3200,0,0:,0
3201,0,0:,0
3202,0,0:,0
3209,0,0:,0
3210,0,0:,0
3211,0,0:,0
3218,0,0:,0
3219,0,0:,0
3220,0,0:,0
3227,0,0:,0
3228,0,0:,0
3229,0,0:,0
3236,0,0:,0
3237,0,0:,0
3238,0,0:,0
3245,0,0:,0
3246,0,0:,0
3247,0,0:,0
3254,0,0:,0
3255,0,0:,0
3256,0,0:,0
3263,0,0:,0
3264,0,0:,0
3265,0,0:,0
3272,0,0:,0
3273,0,0:,0
3274,0,0:,0
3281,0,0:,0
3282,0,0:,0
3283,0,0:,0
3290,0,0:,0
3291,0,0:,0
3292,0,0:,0
3299,0,0:,0
3300,0,0:,0
3301,0,0:,0
3308,0,0:,0
3309,0,0:,0
3310,0,0:,0
3317,0,0:,0
3318,0,0:,0
3319,0,0:,0
3326,0,0:,0
3327,0,0:,0
3328,0,0:,0
3335,0,0:,0
3336,0,0:,0
3337,0,0:,0
3344,0,0:,0
