,Dist.Measurement
8,1848.42
15,1830.75
22,1691.19
29,1616.5
36,1554.1
43,1552.33
50,1554.46
57,1554.45
64,1554.45
71,1552.61
78,1553.95
85,1553.95
92,1554.7
99,1556.48
106,1556.48
113,1554.82
120,1557.1
127,1551.79
134,1551.78
141,1550.0
148,1548.19
155,1548.2
162,1533.53
169,1549.8
176,1547.81
183,1547.81
190,1546.32
197,1544.84
204,1546.65
211,1543.96
218,1543.96
225,1543.96
232,1541.21
239,1542.37
246,1538.96
253,1538.87
260,1540.41
267,1536.95
274,1536.95
281,1534.04
288,1534.23
295,1532.97
302,1532.71
309,1534.93
316,1536.33
323,1536.33
330,1539.93
337,1538.42
344,1538.33
351,1539.87
358,1541.06
365,1541.2
372,1541.2
379,1541.12
386,1543.07
393,1543.04
400,1543.78
407,1543.78
414,1541.95
421,1542.11
428,1539.41
435,1539.11
442,1538.67
449,1539.19
456,1541.24
463,1541.77
470,1539.19
477,1539.15
484,1537.08
491,1523.42
498,1537.29
505,1536.8
512,1539.1
519,1536.39
526,1534.44
533,1534.34
540,1531.67
547,1531.7
554,1472.06
561,1532.56
568,1532.56
575,1534.45
582,1534.25
589,1535.14
596,1537.48
603,1537.86
610,1536.14
617,1538.32
624,1537.3
631,1537.33
638,1536.19
645,1537.68
652,1537.48
659,1537.63
666,1537.63
673,1537.51
680,1538.16
687,1538.16
694,1538.54
701,1537.54
708,1540.28
715,1539.05
722,1538.28
729,1536.8
736,1536.95
743,1534.92
750,1533.28
757,1537.45
764,1534.73
771,1535.62
778,1536.08
785,1536.39
792,1535.35
799,1537.45
806,1537.29
813,1535.81
820,1536.69
827,1536.19
834,1536.19
841,1536.15
848,1537.11
855,1537.11
862,1537.47
869,1537.54
876,1537.54
883,1536.2
890,1536.37
897,1536.12
904,1535.2
911,1536.69
918,1541.34
925,1541.94
932,1539.94
939,1537.57
946,1535.87
953,1536.3
960,1536.3
967,1536.93
974,1537.18
981,1537.18
988,1516.26
995,1489.74
1002,1534.93
1009,1534.93
1016,1535.86
1023,1536.14
1030,1536.05
1037,1536.79
1044,1465.92
1051,1537.04
1058,1535.88
1065,1534.89
1072,1536.83
1079,1522.48
1086,1523.14
1093,1503.05
1100,1497.67
1107,1497.67
1114,1535.94
1121,1538.41
1128,1536.48
1135,1535.06
1142,1515.33
1149,1516.08
1156,1516.67
1163,1517.04
1170,1509.8
1177,1509.8
1184,1534.51
1191,1534.44
1198,1534.92
1205,1534.92
1212,1535.38
1219,1536.38
1226,1538.41
1233,1539.09
1240,1540.78
1247,1541.63
1254,1541.5
1261,1539.26
1268,1539.19
1275,1537.7
1282,1537.7
1289,1537.73
1296,1537.32
1303,1531.18
1310,1538.81
1317,1538.3
1324,1537.64
1331,1540.55
1338,1538.65
1345,1538.65
1352,1537.09
1359,1536.2
1366,1536.2
1373,1460.22
1380,1534.55
1387,1535.87
1394,1535.72
1401,1537.42
1408,1535.67
1415,1535.59
1422,1534.0
1429,1534.16
1436,1534.48
1443,1534.5
1450,1538.33
1457,1538.28
1464,1538.22
1471,1537.08
1478,1538.57
1485,1537.01
1492,1536.63
1499,1523.02
1506,1537.33
1513,1537.29
1520,1537.11
1527,1534.66
1534,1534.98
1541,1483.72
1548,1536.28
1555,1536.27
1562,1537.74
1569,1540.37
1576,1539.37
1583,1539.54
1590,1539.54
1597,1540.47
1604,1540.14
1611,1538.22
1618,1538.22
1625,1537.97
1632,1538.78
1639,1538.81
1646,1540.57
1653,1538.66
1660,1540.8
1667,1540.8
1674,1539.75
1681,1540.4
1688,1539.79
1695,1539.79
1702,1539.79
1709,1541.28
1716,1541.35
1723,1541.35
1730,1539.5
1737,1539.5
1744,1539.5
1751,1539.54
1758,1538.38
1765,1538.38
